naître,to be born
natif – être natif de,to be a native of
natif – être natif de,to come from
native – être native de,to be a native of
native – être native de,to come from
naviguer,to browse
neiger,to snow
noter,to note
numériser,to scan
obligé – être obligé de,to be required to
obligée – être obligée de,to be required to
obliger à,to require to
obliger à,to make (someone) do something
occasionné – être occasionné par,to be caused by
occasionnée – être occasionnée par,to be caused by
occasionner,to cause
offrir le choix,to offer a choice
opposer – s'opposer à,to oppose
ordonner (à),to order
ordonner (à),to decree
organiser,to organize
orienter (vers),to direct (towards)
originaire – être originaire de,to come from
originaire – être originaire de,to be a native of
ouvrir,to open
parler – entendre parler de,to hear of/about
parler (à),to speak to
parler (à),to talk to
parler de,to talk about
parler plus fort,to speak up
part – mettre à part,to put . . . aside
parti – être parti,to be out
parti – être parti,to be away
parti – être parti,to be left
partie – être partie,to be out
partie – être partie,to be away
partie – être partie,to be left
partie – faire partie de,to be part of
partie – faire partie de,to be a member of
partir,to leave
parvenir à,to succeed in
passer,to pass
passer,to spend
passer – se passer,to happen
passer chercher,to come and get
passer chercher,to stop by and get
peine – valoir la peine,to be worthwhile
penser (que),to think (that)
penser à (+ infinitif),to intend
perdre,to lose
permettre (à),to permit
permettre (de),to allow (to)
peur – avoir peur,to be afraid
photocopier,to photocopy
pied - mettre sur pied,to set up
pile – arriver pile,to arrive on the dot
pile – arriver pile,to arrive right on time
placer,to place
planifier,to plan
pleuvoir,to rain
point - faire le point,to take stock
poser une question,to ask a question
potentiel – avoir le potentiel,to have the potential
pour aller à,to get to
pour commencer,to begin
pour conclure,to conclude
pour continuer,to continue
pour en revenir à,to get back to
pour finir,to end
pour terminer,to conclude
poursuivre – se poursuivre,to go on
pouvoir,to be able to
pouvoir – ça se peut (que),to be possible (that)
pouvoir – il se peut que,to be possible (that)
préciser,to indicate (law)
préciser,to state (law)
préférer,to prefer
prendre,to take
prendre,to need
prendre de l’avance,to get ahead
prendre de l’avance,to get a head start
prendre du retard,to get behind schedule
prendre du retard,to fall behind
prendre une décision,to make a decision
préparer,to prepare
présenter – se présenter,to introduce oneself
présenter – se présenter,to report
prévenu – être prévenu de,to be informed of
prévenu – être prévenu que,to be informed that
prévenue – être prévenue de,to be informed of
prévenue – être prévenue que,to be informed that
prévoir,to forecast
prévoir,to stipulate
prévoir,to make provisions for
prié – être prié de,to be asked to
priée – être priée de,to be asked to
prier de,to ask to
prier de,to beg to
procurer – se procurer,to get
procurer – se procurer,to obtain
produire,to produce
produire – se produire,to happen
prolonger,to prolong
promettre (à),to promise
promettre (de),to promise
promouvoir,to promote
prononcer,to pronounce
proposer – se proposer de,to intend to
provenir de,to come from
provoquer,to cause
quelque chose – fermer les yeux (sur quelque chose),to turn a blind eye (to something)
question – poser une question,to ask a question
quêter,to beg for
raccourcir,to shorten
rappeler (à),to remind
réagir (à),to react
recevoir,to receive
rectifier,to rectify
rédiger,to write
réduire,to reduce
refaire,to redo
refuser (de),to refuse
rejoindre,to catch up (with)
rejoindre,to rejoin
remettre à plus tard,to postpone
rendre – se rendre,to go to
rendre – se rendre,to get to
rendu – être rendu (à),to be at
rendue – être rendue (à),to be at
renfermer,to contain
rentrer,to go into
répartir,to divide
répartir,to distribute
répéter,to repeat
répondre (à),to answer
reporter,to postpone
reprendre,to take back
respecter,to respect
respecter les échéances,to meet deadlines
responsabilité – avoir la responsabilité de,to be responsible for
ressembler à,to be alike
ressembler à,to look like
rester,to stay
rester (il (me) reste),to have . . . left
restreindre,to restrict
résulter de,to result from
résulter de,to be the result of
retard – être en retard,to be late
retard – prendre du retard,to get behind schedule
retard – prendre du retard,to fall behind
retardé – être retardé,to be delayed
retardée – être retardée,to be delayed
retarder,to delay
retenir,to keep (for a job)
retirer,to withdrawal
retirer,to gain
retourner (à),to go back
réunir,to gather
réussir,to succeed
réussir à,to succeed in
revendiquer,to claim
revendiquer,to demand
revenir – pour en revenir à,to get back to
revenir (à),to come back
revenir (à),to return
rougir,to blush
s’absenter,to go out
s’absenter,to be absent
s’abstenir (de),to refrain
s’appeler,to be called
s’appliquer à,to apply to
s’attendre à (ce que),to expect (that)
s’en aller,to go (away)
s’en aller,to leave
s’en tenir à,to restrict oneself to
s’en venir,to be coming
s’engager à,to undertake
s’ennuager,to cloud over
s’excuser,to apologize
s’identifier,to identify oneself
s’informer (de),to inquire (about)
s’informer (de),to find out (about)
s’informer (de),to inform oneself (about)
s’inscrire (à),to register (for)
s’occuper de,to take care of
s’opposer à,to oppose
satisfaire (à),to satisfy
sauvegarder,to save
savoir,to know
se conformer à,to comply with
se demander,to wonder
se dérouler,to take place
se dérouler,to go off
se fier à,to rely on
se fixer des échéances,to etablish deadlines
se laisser dire,to hear
se limiter à,to keep to
se méfier de,to mistrust
se passer,to happen
se poursuivre,to go on
se pouvoir – ça se peut (que),to be possible (that)
se pouvoir – il se peut que,to be possible (that)
se présenter,to report
se présenter,to introduce oneself
se procurer,to get
se procurer,to obtain
se produire,to happen
se proposer de,to intend to
se rendre à,to go to
se rendre à,to get to
se servir de,to use
se situer,to be situated
se souvenir de,to remember
se tenir,to be held
se tenir au courant (de),to keep up to date on
se terminer,to end
se tromper,to make a mistake
se trouver,to be located
sélectionner,to select
sembler,to seem
servir – se servir de,to use
servir à,to be used for
signer,to sign
signifier,to mean
simplifier,to simplify
situer – se situer,to be situated
soleil – faire soleil,to be sunny
solliciter,to solicit
solliciter,to ask for
songer à,to think of
sorti – être sorti,to be out
sorti – être sorti,to be gone
sortie – être sortie,to be out
sortie – être sortie,to be gone
sortir,to get out
sortir de,to come out of
souhaiter,to hope
souhaiter,to wish to
souligner,to underline
soustraire,to subtract
souvenir – se souvenir de,to remember
spécifier,to specify
stipuler,to stipulate
suivre,to follow
supprimer,to delete
sûr – être sûr que,to be sure that
sûre – être sûre que,to be sure that
survenir,to happen
talent – avoir du talent,to have talent
taper,to type
télécharger,to download
téléphoner (à),to telephone
temps – avoir le temps,to have time
tenir,to hold
tenir – s'en tenir à,to restrict oneself to
tenir – se tenir au courant (de),to keep up to date on
tenir – se tenir,to be held
tenir à,to want very much
tenir à,to insist on
tenir à,to be determined to
tenu – être tenu de,to be required to
tenue – être tenue de,to be required to
terminer,to complete
terminer – pour terminer,to conclude
terminer – se terminer,to end
tolérer,to tolerate
tomber,to fall
toucher,to receive (salary)
tourner,to turn
traduire,to translate
traiter,to process
transcrire,to transcribe
transférer,to transfer
transmettre à,to transmit
travailler,to work
travailler à,to work in
travailler dans,to work in
travailler pour,to work for
traverser,to cross
tromper – se tromper,to make a mistake
trouver – se trouver,to be located
trouver (que),to find (that)
vaincre,to overcome
valoir,to be worth
valoir la peine,to be worth the trouble
valoir mieux,to be better
veilleuse - mettre en veilleuse,to put on the back burner
venir,to come
venir – s'en venir,to be coming
venir chercher,to come and get
venir de,to be from
venir de,to come from
venter,to be windy
vérifier,to check
vérifier,to verify
vérifier,to audit
vigueur - entrer en vigueur,to come into force
vigueur - mettre en vigueur,to enforce
virer,to turn
viser à,to aim to
voir,to see
vouloir,to want
vouloir dire,to mean
voyager,to travel
y avoir moyen de,to be a way of
y avoir moyen que,to be a way that
yeux – fermer les yeux (sur quelque chose),to turn a blind eye (to something)
